date,open,high,low,close,adj close,volume,volatility
2020-12-04,91.23,91.66,90.85,91.4,90.78,27564000.0,0.008862144420131316
2020-12-07,90.95,91.62,90.29,90.97,90.36,26418000.0,0.014620204463009765
2020-12-08,90.5,91.1,89.81,90.93,90.31,21926000.0,0.014186737050478302
2020-12-09,90.6,91.71,88.39,89.21,88.6,30152000.0,0.037215558793857115
2020-12-10,88.49,89.07,87.02,88.77,88.16,27256000.0,0.023093387405655034
2020-12-11,88.15,89.22,88.0,89.09,88.48,24414000.0,0.01369401728589066
2020-12-14,88.75,89.87,87.86,88.0,87.4,32004000.0,0.022840909090909148
2020-12-15,88.22,88.57,87.5,88.39,87.79,29646000.0,0.012105441792057848
2020-12-16,88.64,88.65,87.8,88.15,87.55,30270000.0,0.009642654566080641
2020-12-17,88.43,88.59,86.93,87.39,86.8,32494000.0,0.01899530838768734
2020-12-18,87.71,87.76,86.01,86.55,85.96,80328000.0,0.020219526285384173
2020-12-21,85.68,87.04,84.95,86.97,86.38,36568000.0,0.024031275152351424
2020-12-22,86.72,86.87,85.63,86.18,85.59,18734000.0,0.014388489208633198
2020-12-23,86.41,87.4,86.25,86.62,86.03,20676000.0,0.013276379589009532
2020-12-24,86.75,87.3,86.46,86.94,86.35,6936000.0,0.00966183574879231
2020-12-28,87.58,89.54,87.32,88.8,88.2,27860000.0,0.025000000000000147
2020-12-29,89.39,89.62,87.8,87.94,87.34,25988000.0,0.020695929042529083
2020-12-30,88.1,88.25,86.28,86.98,86.38,26122000.0,0.022648884801103688
2020-12-31,86.77,87.95,86.77,87.59,87.0,20238000.0,0.013471857517981582
2021-01-04,87.88,88.03,85.39,86.41,85.82,38038000.0,0.030552019442194198
2021-01-05,86.25,87.38,85.9,87.05,86.45,22906000.0,0.017001723147616197
2021-01-06,85.13,87.4,84.95,86.76,86.17,52042000.0,0.028238819732595698
2021-01-07,87,89.42,86.85,89.36,88.76,45300000.0,0.0287600716204119
2021-01-08,89.4,90.49,88.68,90.36,89.75,41012000.0,0.020030987162461135
2021-01-11,89.3,89.72,88.03,88.34,87.74,24194000.0,0.01913063165044145
2021-01-12,87.7,88.9,86.27,87.33,86.73,27140000.0,0.03011565326920886
2021-01-13,86.93,88.25,86.9,87.72,87.12,21882000.0,0.015389876880984888
2021-01-14,87.68,88.75,86.67,87.01,86.42,23590000.0,0.023905298241581406
2021-01-15,86.91,87.8,86.08,86.81,86.22,26844000.0,0.01981338555465959
2021-01-19,87.61,90.46,87.07,89.54,88.93,34692000.0,0.03786017422381059
